Market,Max Trades, Backtest Period,Total Trades,Total Profit, Avg Profit, Drawdown, Wins, Draws, Loses, Win Rate, Win Day,Avg Duration, Avg Dur_Win, Avg Dur_Lose, Market Change, Left total trades, Left avg profit, Left total profit, Left avg duration, Left win, Left draws, Left lose, Left Win Rate 
USDT200, 10,20211001_20211101,201,4.41%,0.22, 49.06%,175, 0, 26, 87.1,19/3/10,4:53:00, 3:54:00, 11:29:00,37.44%,2,-2.03, -0.41, 4 days 15:20:00,0,0, 2, 0
USDT200, 10,20210901_20211001,269,12.07%,0.43, 48.09%,239, 0, 30, 88.8,19/0/11,6:09:00, 4:18:00, 20:51:00,-13.11%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20210801_20210901,212,9.54%,0.43, 15.41%,186, 0, 26, 87.7,22/0/9,1:37:00, 1:24:00, 3:13:00,55.72%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20210701_20210801,276,8.89%,0.32, 60.13%,235, 0, 41, 85.1,20/1/10,4:18:00, 4:16:00, 4:29:00,22.17%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20210601_20210701,259,10.81%,0.40, 40.41%,237, 0, 22, 91.5,23/1/7,7:14:00, 6:03:00, 20:00:00,-22.67%,1,0.37, 0.04, 26 days 19:35:00,1,0, 0, 100
USDT200, 10,20210501_20210601,520,55.4%,0.83, 160.28%,482, 0, 38, 92.7,31/0/1,2:23:00, 1:37:00, 12:09:00,-34.38%,1,0.52, 0.07, 10 days 9:30:00,1,0, 0, 100
USDT200, 10,20210401_20210501,460,51.16%,0.90, 23.78%,418, 0, 42, 90.9,26/0/5,3:45:00, 3:19:00, 8:03:00,27.93%,2,-0.14, -0.05, 8 days 15:30:00,1,0, 1, 50.0
USDT200, 10,20210301_20210401,468,29.03%,0.55, 60.65%,408, 0, 60, 87.2,23/0/8,1:10:00, 0:40:00, 4:35:00,136.52%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20210201_20210301,621,77.51%,0.93, 29.54%,563, 0, 58, 90.7,22/0/7,1:36:00, 0:47:00, 9:33:00,81.74%,3,-0.92, -0.47, 6 days 5:20:00,0,0, 3, 0
USDT200, 10,20210101_20210201,518,39.43%,0.65, 46.75%,451, 0, 67, 87.1,28/0/4,3:35:00, 1:10:00, 19:53:00,92.61%,2,-0.07, -0.01, 23 days 20:28:00,0,0, 2, 0
USDT200, 10,20201201_20210101,249,11.72%,0.45, 51.81%,215, 0, 34, 86.3,22/1/9,5:08:00, 3:48:00, 13:35:00,6.6%,2,-1.80, -0.40, 2:25:00,0,0, 2, 0
USDT200, 10,20201101_20201201,323,9.5%,0.29, 64.18%,278, 0, 45, 86.1,23/0/8,2:53:00, 2:27:00, 5:38:00,45.88%,1,-4.81, -0.52, 4 days 20:50:00,0,0, 1, 0
USDT200, 10,20201001_20201101,223,2.94%,0.14, 68.69%,196, 0, 27, 87.9,24/1/7,12:46:00, 8:42:00, 1 day 18:20:00,-18.94%,5,-7.74, -4.07, 3 days 13:23:00,0,0, 5, 0
USDT200, 10,20200901_20201001,289,-1.58%,-0.04, 163.6%,246, 0, 43, 85.1,20/1/10,11:22:00, 4:11:00, 2 days 4:31:00,-29.71%,2,-3.61, -0.72, 19 days 3:42:00,0,0, 2, 0
USDT200, 10,20200801_20200901,209,16.49%,0.73, 31.28%,189, 0, 20, 90.4,25/1/5,1:30:00, 1:15:00, 3:46:00,45.8%,1,-1.30, -0.15, 16:15:00,0,0, 1, 0
USDT200, 10,20200701_20200801,112,9.38%,0.80, 19.09%,101, 0, 11, 90.2,24/2/4,3:14:00, 2:52:00, 6:36:00,35.02%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20200601_20200701,110,0.9%,0.09, 53.84%,98, 0, 12, 89.1,21/6/4,1 day 8:58:00, 16:06:00, 7 days 2:42:00,-0.74%,2,-1.19, -0.25, 16 days 3:15:00,1,0, 1, 50.0
USDT200, 10,20200501_20200601,114,10.1%,0.85, 10.95%,102, 0, 12, 89.5,23/3/5,10:26:00, 11:12:00, 3:49:00,19.2%,2,-1.64, -0.36, 1:05:00,0,0, 2, 0
USDT200, 10,20200401_20200501,117,3.32%,0.28, 21.16%,97, 0, 20, 82.9,17/8/6,2:50:00, 2:06:00, 6:22:00,31.53%,1,-2.86, -0.30, 14:50:00,0,0, 1, 0
USDT200, 10,20200301_20200401,185,-44.04%,-2.48, 537.31%,143, 0, 42, 77.3,19/4/9,13:04:00, 4:22:00, 1 day 18:45:00,-33.67%,1,0.03, 0.00, 8 days 11:40:00,1,0, 0, 100
USDT200, 10,20200201_20200301,133,1.13%,0.08, 35.11%,109, 0, 24, 82.0,16/3/11,17:48:00, 1:14:00, 3 days 21:06:00,4.87%,6,-4.89, -3.00, 14 days 4:34:00,0,0, 6, 0
USDT200, 10,20200101_20200201,81,2.2%,0.27, 19.46%,66, 0, 15, 81.5,14/8/10,6:33:00, 5:49:00, 9:47:00,25.34%,1,-1.08, -0.11, 1 day 10:25:00,0,0, 1, 0
USDT200, 10,20191201_20200101,93,-2.79%,-0.29, 51.35%,77, 0, 16, 82.8,18/5/9,23:07:00, 12:41:00, 3 days 1:19:00,-13.54%,4,-3.95, -1.54, 7 days 16:04:00,0,0, 4, 0
USDT200, 10,20191101_20191201,108,-11.34%,-0.96, 164.56%,95, 0, 13, 88.0,21/4/6,12:47:00, 3:49:00, 3 days 6:18:00,-8.1%,1,-9.17, -0.97, 9 days 13:00:00,0,0, 1, 0
BTC200, 10,20211001_20211101,190,-6.29%,-0.32, 111.61%,153, 0, 37, 80.5,17/1/14,13:20:00, 7:50:00, 1 day 12:03:00,-4.23%,2,-2.23, -0.42, 2 days 8:35:00,0,0, 2, 0
BTC200, 10,20210901_20211001,232,22.49%,0.88, 17.86%,213, 0, 19, 91.8,25/0/6,2:29:00, 2:14:00, 5:16:00,-2.26%,2,-1.26, -0.31, 1 day 16:45:00,1,0, 1, 50.0
BTC200, 10,20210801_20210901,124,0.47%,0.04, 32.71%,102, 0, 22, 82.3,20/2/9,2:37:00, 2:21:00, 3:48:00,38.45%,0,0.00, 0.00, 0:00,0,0, 0, 0
BTC200, 10,20210701_20210801,200,9.67%,0.46, 18.13%,177, 0, 23, 88.5,24/0/8,11:17:00, 4:30:00, 2 days 15:31:00,5.3%,2,-1.90, -0.42, 12 days 21:48:00,0,0, 2, 0
BTC200, 10,20210601_20210701,118,-10.16%,-0.83, 153.17%,97, 0, 21, 82.2,19/3/9,1 day 9:14:00, 10:02:00, 5 days 20:24:00,-21.15%,2,-0.92, -0.17, 8 days 2:58:00,0,0, 2, 0
BTC200, 10,20210501_20210601,293,-2.73%,-0.01, 245.71%,258, 0, 35, 88.1,21/1/9,3:44:00, 1:24:00, 20:54:00,-8.05%,0,0.00, 0.00, 0:00,0,0, 0, 0
BTC200, 10,20210401_20210501,351,27.77%,0.70, 31.26%,311, 0, 40, 88.6,23/0/8,2:17:00, 1:43:00, 6:43:00,35.86%,4,-1.68, -0.86, 10:34:00,0,0, 4, 0
BTC200, 10,20210301_20210401,338,14.9%,0.42, 52.68%,288, 0, 50, 85.2,23/0/9,2:44:00, 1:45:00, 8:26:00,76.54%,1,-0.20, -0.02, 0:05:00,0,0, 1, 0
BTC200, 10,20210201_20210301,463,22.09%,0.44, 71.66%,403, 0, 60, 87.0,22/0/7,1:30:00, 0:54:00, 5:35:00,32.57%,1,0.13, 0.02, 0:10:00,1,0, 0, 100
BTC200, 10,20210101_20210201,409,20.05%,0.45, 59.43%,358, 0, 51, 87.5,23/0/8,2:06:00, 1:25:00, 6:53:00,63.15%,0,0.00, 0.00, 0:00,0,0, 0, 0
BTC200, 10,20201201_20210101,202,1.54%,0.10, 123.16%,186, 0, 16, 92.1,24/0/7,9:31:00, 4:02:00, 3 days 1:14:00,-31.37%,0,0.00, 0.00, 0:00,0,0, 0, 0
BTC200, 10,20201101_20201201,332,20.24%,0.56, 52.81%,294, 0, 38, 88.6,23/0/7,5:37:00, 4:45:00, 12:25:00,0.4%,0,0.00, 0.00, 0:00,0,0, 0, 0
