Market,Max Trades, Backtest Period,Total Trades,Total Profit, Avg Profit, Drawdown, Wins, Draws, Loses, Win Rate, Win Day,Avg Duration, Avg Dur_Win, Avg Dur_Lose, Market Change, Left total trades, Left avg profit, Left total profit, Left avg duration, Left win, Left draws, Left lose, Left Win Rate 
USDT200, 10,20211001_20211101,177,6.29%,0.35, 43.31%,158, 0, 19, 89.3,20/3/9,6:45:00, 6:37:00, 7:54:00,37.44%,1,-3.86, -0.40, 4 days 16:55:00,0,0, 1, 0
USDT200, 10,20210901_20211001,210,13.1%,0.59, 36.32%,188, 0, 22, 89.5,22/1/8,9:23:00, 7:16:00, 1 day 3:20:00,-13.11%,2,-11.63, -2.62, 10 days 18:28:00,0,0, 2, 0
USDT200, 10,20210801_20210901,195,8.85%,0.44, 19.99%,171, 0, 24, 87.7,23/0/9,1:43:00, 1:27:00, 3:36:00,55.72%,1,-7.89, -0.87, 8:05:00,0,0, 1, 0
USDT200, 10,20210701_20210801,245,8.52%,0.35, 60.13%,211, 0, 34, 86.1,21/1/10,5:25:00, 3:41:00, 16:13:00,22.17%,1,-1.71, -0.18, 18 days 22:00:00,0,0, 1, 0
USDT200, 10,20210601_20210701,208,14.11%,0.63, 35.26%,192, 0, 16, 92.3,22/3/6,8:52:00, 7:50:00, 21:16:00,-22.67%,2,-17.45, -3.73, 19 days 17:22:00,1,0, 1, 50.0
USDT200, 10,20210501_20210601,472,86.46%,1.31, 27.75%,444, 0, 28, 94.1,31/0/1,2:24:00, 1:45:00, 12:54:00,-34.38%,2,-13.61, -3.67, 11 days 10:55:00,1,0, 1, 50.0
USDT200, 10,20210401_20210501,395,54.66%,1.11, 25.32%,369, 0, 26, 93.4,27/0/4,3:48:00, 3:34:00, 7:09:00,27.93%,2,-0.14, -0.05, 8 days 15:30:00,1,0, 1, 50.0
USDT200, 10,20210301_20210401,406,31.03%,0.66, 48.04%,360, 0, 46, 88.7,23/0/9,1:41:00, 0:43:00, 9:17:00,136.52%,1,-48.04, -5.96, 12 days 12:10:00,0,0, 1, 0
USDT200, 10,20210201_20210301,566,74.09%,0.98, 29.86%,515, 0, 51, 91.0,22/0/7,1:38:00, 0:45:00, 10:33:00,81.74%,3,-0.41, -0.20, 6 days 5:13:00,0,0, 3, 0
USDT200, 10,20210101_20210201,477,33.89%,0.62, 46.75%,413, 0, 64, 86.6,27/0/5,3:27:00, 0:48:00, 20:37:00,92.61%,2,-0.07, -0.01, 23 days 20:28:00,0,0, 2, 0
