Market,Max Trades, Backtest Period,Total Trades,Total Profit, Avg Profit, Drawdown, Wins, Draws, Loses, Win Rate, Win Day,Avg Duration, Avg Dur_Win, Avg Dur_Lose, Market Change, Left total trades, Left avg profit, Left total profit, Left avg duration, Left win, Left draws, Left lose, Left Win Rate 
BTC200, 10,20201101_20201201,367,20.29%,0.51, 58.89%,329, 0, 38, 89.6,22/0/8,6:04:00, 4:31:00, 19:29:00,0.4%,0,0.00, 0.00, 0:00,0,0, 0, 0
BTC200, 10,20201001_20201101,190,-25.26%,-1.39, 290.76%,159, 0, 31, 83.7,21/0/11,1 day 2:23:00, 7:38:00, 5 days 2:36:00,-36.85%,9,-9.62, -7.16, 4 days 7:27:00,1,0, 8, 11.1
BTC200, 10,20200901_20201001,275,4.82%,0.17, 88.51%,247, 0, 28, 89.8,20/0/11,11:01:00, 4:57:00, 2 days 16:36:00,-26.31%,3,-8.02, -2.48, 11 days 18:08:00,0,0, 3, 0
BTC200, 10,20200801_20200901,265,17.1%,0.60, 24.93%,241, 0, 24, 90.9,25/0/7,2:29:00, 2:19:00, 4:08:00,46.6%,1,-2.30, -0.27, 1 day 3:55:00,0,0, 1, 0
BTC200, 10,20200701_20200801,213,8.47%,0.38, 64.39%,191, 0, 22, 89.7,23/0/9,8:25:00, 6:09:00, 1 day 4:06:00,12.23%,2,-8.76, -1.91, 5 days 0:18:00,0,0, 2, 0
BTC200, 10,20200601_20200701,139,9.16%,0.63, 22.88%,127, 0, 12, 91.4,24/1/5,23:49:00, 10:13:00, 6 days 23:46:00,8.05%,5,-4.58, -2.43, 14 days 7:33:00,0,0, 5, 0
BTC200, 10,20200501_20200601,160,9.26%,0.55, 35.53%,141, 0, 19, 88.1,24/1/7,16:37:00, 8:12:00, 3 days 7:06:00,18.13%,5,-7.11, -3.76, 11 days 21:33:00,0,0, 5, 0
BTC200, 10,20200401_20200501,91,-0.5%,-0.04, 50.97%,73, 0, 18, 80.2,19/5/7,14:24:00, 11:06:00, 1 day 3:50:00,-2.9%,9,-4.58, -4.30, 1 day 10:48:00,0,0, 9, 0
BTC200, 10,20200301_20200401,176,2.23%,0.13, 74.02%,154, 0, 22, 87.5,21/1/10,9:44:00, 5:54:00, 1 day 12:37:00,-8.5%,4,-0.35, -0.14, 3 days 0:45:00,1,0, 3, 25.0
BTC200, 10,20200201_20200301,209,2.75%,0.14, 38.29%,181, 0, 28, 86.6,19/1/10,8:13:00, 3:17:00, 1 day 16:07:00,17.73%,3,-8.69, -2.73, 7 days 12:15:00,0,0, 3, 0
BTC200, 10,20200101_20200201,114,1.78%,0.16, 25.25%,96, 0, 18, 84.2,22/2/8,18:16:00, 12:35:00, 2 days 0:31:00,-2.54%,6,-0.96, -0.58, 2 days 23:22:00,2,0, 4, 33.3
BTC200, 10,20191201_20200101,108,-9.07%,-0.84, 107.29%,88, 0, 20, 81.5,19/3/10,1 day 4:28:00, 10:15:00, 4 days 12:40:00,-10.35%,4,-5.49, -2.09, 11 days 10:45:00,0,0, 4, 0
BTC200, 10,20191101_20191201,96,7.01%,0.70, 27.04%,88, 0, 8, 91.7,23/2/5,11:32:00, 5:19:00, 3 days 7:54:00,14.06%,3,-7.84, -2.52, 7 days 12:17:00,0,0, 3, 0
