Market,Max Trades, Backtest Period,Total Trades,Total Profit, Avg Profit, Drawdown, Wins, Draws, Loses, Win Rate, Win Day,Avg Duration, Avg Dur_Win, Avg Dur_Lose, Market Change, Left total trades, Left avg profit, Left total profit, Left avg duration, Left win, Left draws, Left lose, Left Win Rate 
USDT200, 10,20211001_20211101,303,5.47%,0.20, 124.88%,281, 0, 22, 92.7,22/0/10,10:05:00, 4:54:00, 3 days 4:09:00,37.44%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20210901_20211001,259,-10.78%,-0.39, 144.77%,228, 0, 31, 88.0,19/0/12,10:54:00, 5:25:00, 2 days 3:09:00,-13.11%,1,-4.04, -0.36, 18:20:00,0,0, 1, 0
USDT200, 10,20210801_20210901,310,26.28%,0.75, 23.45%,298, 0, 12, 96.1,26/0/6,7:14:00, 5:31:00, 2 days 1:57:00,55.72%,4,-5.86, -2.95, 4 days 15:31:00,0,0, 4, 0
USDT200, 10,20210701_20210801,325,14.9%,0.44, 75.13%,304, 0, 21, 93.5,21/0/11,9:23:00, 5:34:00, 2 days 16:37:00,22.17%,2,-2.25, -0.50, 9 days 18:50:00,0,0, 2, 0
USDT200, 10,20210601_20210701,267,2.3%,0.11, 90.4%,247, 0, 20, 92.5,20/2/9,9:29:00, 3:57:00, 3 days 5:52:00,-22.67%,1,-0.45, -0.04, 29 days 15:25:00,0,0, 1, 0
USDT200, 10,20210501_20210601,554,50.06%,0.73, 190.26%,527, 0, 27, 95.1,28/0/4,3:24:00, 2:25:00, 22:52:00,-34.38%,1,0.42, 0.06, 10 days 9:40:00,1,0, 0, 100
USDT200, 10,20210401_20210501,481,47.37%,0.81, 54.52%,453, 0, 28, 94.2,27/0/4,5:56:00, 4:42:00, 1 day 1:50:00,27.93%,2,-0.14, -0.04, 8 days 15:30:00,1,0, 1, 50.0
USDT200, 10,20210301_20210401,548,45.95%,0.69, 53.48%,516, 0, 32, 94.2,27/0/5,2:59:00, 2:11:00, 15:57:00,136.52%,2,-3.15, -0.92, 18:25:00,0,0, 2, 0
USDT200, 10,20210201_20210301,694,101.36%,1.01, 35.13%,660, 0, 34, 95.1,26/0/3,2:18:00, 1:20:00, 21:06:00,81.74%,4,-3.12, -2.49, 4 days 21:22:00,0,0, 4, 0
USDT200, 10,20210101_20210201,591,56.81%,0.77, 69.84%,556, 0, 35, 94.1,27/0/5,4:48:00, 2:30:00, 1 day 17:11:00,92.61%,3,-0.09, -0.04, 16 days 0:32:00,0,0, 3, 0
USDT200, 10,20201201_20210101,285,14.88%,0.48, 37.97%,263, 0, 22, 92.3,23/0/9,9:46:00, 5:41:00, 2 days 10:31:00,6.6%,2,-1.80, -0.41, 2:25:00,0,0, 2, 0
USDT200, 10,20201101_20201201,366,27.21%,0.67, 72.88%,345, 0, 21, 94.3,26/0/5,5:19:00, 3:40:00, 1 day 8:17:00,45.88%,4,-3.19, -1.56, 4 days 18:41:00,0,0, 4, 0
USDT200, 10,20201001_20201101,249,5.87%,0.24, 62.6%,230, 0, 19, 92.4,20/1/11,14:34:00, 10:20:00, 2 days 17:50:00,-18.94%,5,-7.74, -4.24, 3 days 13:23:00,0,0, 5, 0
USDT200, 10,20200901_20201001,275,-15.16%,-0.54, 287.83%,245, 0, 30, 89.1,17/1/13,15:33:00, 4:51:00, 4 days 6:59:00,-29.71%,4,-2.68, -0.96, 11 days 4:02:00,1,0, 3, 25.0
USDT200, 10,20200801_20200901,267,23.52%,0.79, 31.76%,255, 0, 12, 95.5,27/0/4,2:28:00, 1:43:00, 18:26:00,45.8%,2,-0.56, -0.14, 16:22:00,1,0, 1, 50.0
USDT200, 10,20200701_20200801,142,14.85%,0.98, 21.79%,137, 0, 5, 96.5,29/0/2,10:48:00, 10:09:00, 1 day 4:23:00,35.02%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20200601_20200701,133,5.46%,0.40, 42.92%,123, 0, 10, 92.5,21/5/4,22:26:00, 11:05:00, 6 days 17:54:00,-0.74%,4,-2.26, -0.98, 9 days 22:32:00,1,0, 3, 25.0
USDT200, 10,20200501_20200601,132,8.54%,0.63, 30.05%,122, 0, 10, 92.4,25/2/4,22:01:00, 15:43:00, 4 days 2:56:00,19.2%,6,-3.53, -2.33, 5 days 5:09:00,1,0, 5, 16.7
USDT200, 10,20200401_20200501,150,12.26%,0.77, 16.89%,143, 0, 7, 95.3,24/4/3,7:45:00, 7:01:00, 22:32:00,31.53%,4,-4.22, -1.92, 14:52:00,0,0, 4, 0
USDT200, 10,20200301_20200401,188,-42.76%,-2.36, 566.53%,157, 0, 31, 83.5,19/4/9,14:54:00, 4:12:00, 2 days 21:07:00,-33.67%,3,-0.16, -0.03, 6 days 2:02:00,1,0, 2, 33.3
USDT200, 10,20200201_20200301,151,-0.19%,0.00, 65.29%,133, 0, 18, 88.1,20/3/7,19:13:00, 2:54:00, 5 days 19:44:00,4.87%,6,-4.89, -2.97, 14 days 4:34:00,0,0, 6, 0
USDT200, 10,20200101_20200201,102,7.86%,0.75, 12.58%,96, 0, 6, 94.1,24/4/4,13:43:00, 12:46:00, 1 day 4:54:00,25.34%,2,-1.91, -0.41, 2 days 14:18:00,0,0, 2, 0
USDT200, 10,20191201_20200101,102,-4.94%,-0.46, 66.07%,89, 0, 13, 87.3,20/5/7,23:52:00, 12:26:00, 4 days 6:08:00,-13.54%,4,-3.95, -1.53, 7 days 16:04:00,0,0, 4, 0
USDT200, 10,20191101_20191201,120,-15.32%,-1.22, 188.43%,104, 0, 16, 86.7,22/2/7,14:07:00, 3:41:00, 3 days 10:00:00,-8.1%,3,-4.86, -1.30, 3 days 13:42:00,0,0, 3, 0
BTC200, 10,20211001_20211101,219,4.29%,0.20, 95.97%,200, 0, 19, 91.3,22/0/10,16:38:00, 11:29:00, 2 days 22:52:00,-4.23%,3,-4.99, -1.58, 10:00:00,0,0, 3, 0
BTC200, 10,20210901_20211001,274,25.77%,0.83, 21.71%,261, 0, 13, 95.3,26/0/5,5:49:00, 3:42:00, 2 days 0:31:00,-2.26%,3,-0.91, -0.35, 2 days 18:48:00,1,0, 2, 33.3
BTC200, 10,20210801_20210901,200,3.79%,0.19, 39.84%,185, 0, 15, 92.5,23/0/9,10:58:00, 8:10:00, 1 day 21:33:00,38.45%,2,-8.28, -1.74, 19:05:00,0,0, 2, 0
BTC200, 10,20210701_20210801,246,0.86%,0.05, 63.58%,222, 0, 24, 90.2,19/0/13,14:47:00, 6:05:00, 3 days 23:10:00,5.3%,2,-1.90, -0.39, 12 days 21:48:00,0,0, 2, 0
BTC200, 10,20210601_20210701,139,-11.53%,-0.85, 170.67%,119, 0, 20, 85.6,21/1/9,1 day 5:45:00, 8:47:00, 6 days 10:31:00,-21.15%,1,-1.70, -0.15, 4:10:00,0,0, 1, 0
BTC200, 10,20210501_20210601,349,1.39%,0.16, 291.04%,327, 0, 22, 93.7,26/0/6,6:05:00, 3:33:00, 1 day 19:40:00,-8.05%,1,-2.92, -0.30, 3 days 18:15:00,0,0, 1, 0
BTC200, 10,20210401_20210501,432,23.9%,0.50, 38.97%,396, 0, 36, 91.7,25/0/6,4:48:00, 2:50:00, 1 day 2:19:00,35.86%,8,-3.05, -3.09, 10:08:00,0,0, 8, 0
BTC200, 10,20210301_20210401,414,25.06%,0.54, 56.52%,385, 0, 29, 93.0,22/0/10,5:12:00, 3:29:00, 1 day 3:51:00,76.54%,2,-1.45, -0.37, 3:38:00,0,0, 2, 0
BTC200, 10,20210201_20210301,528,29.43%,0.50, 106.35%,488, 0, 40, 92.4,22/0/7,2:37:00, 1:47:00, 12:53:00,32.57%,1,0.13, 0.02, 0:10:00,1,0, 0, 100
BTC200, 10,20210101_20210201,454,29.27%,0.57, 82.97%,425, 0, 29, 93.6,22/0/9,3:56:00, 2:35:00, 23:41:00,63.15%,0,0.00, 0.00, 0:00,0,0, 0, 0
BTC200, 10,20201201_20210101,213,0.42%,0.06, 123.16%,197, 0, 16, 92.5,24/0/7,9:24:00, 3:48:00, 3 days 6:29:00,-31.37%,0,0.00, 0.00, 0:00,0,0, 0, 0
BTC200, 10,20201101_20201201,359,24.91%,0.62, 40.75%,335, 0, 24, 93.3,23/0/8,8:17:00, 5:20:00, 2 days 1:31:00,0.4%,1,-9.33, -1.18, 22:30:00,0,0, 1, 0
BTC200, 10,20201001_20201101,181,-27.73%,-1.64, 326.96%,151, 0, 30, 83.4,20/1/11,1 day 3:03:00, 7:39:00, 5 days 4:40:00,-36.85%,9,-11.85, -8.74, 4 days 14:39:00,0,0, 9, 0
BTC200, 10,20200901_20201001,271,1.35%,0.05, 116.25%,246, 0, 25, 90.8,19/0/12,11:53:00, 5:26:00, 3 days 3:14:00,-26.31%,3,-8.02, -2.37, 11 days 18:08:00,0,0, 3, 0
BTC200, 10,20200801_20200901,263,17.8%,0.63, 30.8%,248, 0, 15, 94.3,23/0/9,3:22:00, 2:41:00, 14:28:00,46.6%,1,-2.30, -0.27, 1 day 3:55:00,0,0, 1, 0
