Market,Max Trades, Backtest Period,Total Trades,Total Profit, Avg Profit, Drawdown, Wins, Draws, Loses, Win Rate, Win Day,Avg Duration, Avg Dur_Win, Avg Dur_Lose, Market Change, Left total trades, Left avg profit, Left total profit, Left avg duration, Left win, Left draws, Left lose, Left Win Rate 
USDT200, 10,20211001_20211101,391,12.34%,0.30, 43.74%,325, 0, 66, 83.1,27/0/4,1:14:00, 0:47:00, 3:30:00,37.44%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20210901_20211001,250,4.88%,0.20, 60.02%,202, 0, 48, 80.8,22/1/8,3:23:00, 0:39:00, 14:51:00,-13.11%,1,-0.09, -0.01, 23 days 8:35:00,0,0, 1, 0
USDT200, 10,20210801_20210901,364,15.93%,0.41, 37.02%,304, 0, 60, 83.5,23/0/8,1:26:00, 0:56:00, 4:00:00,55.72%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20210701_20210801,350,0.83%,0.03, 68.51%,265, 0, 85, 75.7,20/0/11,1:57:00, 1:12:00, 4:19:00,22.17%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20210601_20210701,232,10.83%,0.45, 43.54%,191, 0, 41, 82.3,18/4/8,2:39:00, 0:42:00, 11:46:00,-22.67%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20210501_20210601,599,67.83%,0.87, 52.95%,518, 0, 81, 86.5,29/0/2,1:09:00, 0:54:00, 2:45:00,-34.38%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20210401_20210501,604,82.68%,1.00, 30.75%,536, 0, 68, 88.7,29/0/1,0:58:00, 0:36:00, 3:53:00,27.93%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20210301_20210401,665,79.83%,0.88, 30.47%,574, 0, 91, 86.3,30/0/2,0:52:00, 0:32:00, 2:59:00,136.52%,2,0.61, 0.22, 0:28:00,1,0, 1, 50.0
USDT200, 10,20210201_20210301,895,141.99%,0.99, 24.49%,789, 0, 106, 88.2,26/0/3,0:55:00, 0:29:00, 4:12:00,81.74%,1,-0.35, -0.07, 6 days 9:10:00,0,0, 1, 0
USDT200, 10,20210101_20210201,836,87.54%,0.76, 64.31%,721, 0, 115, 86.2,28/0/3,0:52:00, 0:31:00, 3:05:00,92.61%,0,0.00, 0.00, 0:00,0,0, 0, 0
