Market,Max Trades, Backtest Period,Total Trades,Total Profit, Avg Profit, Drawdown, Wins, Draws, Loses, Win Rate, Win Day,Avg Duration, Avg Dur_Win, Avg Dur_Lose, Market Change, Left total trades, Left avg profit, Left total profit, Left avg duration, Left win, Left draws, Left lose, Left Win Rate 
USDT200, 10,20211001_20211101,436,14.69%,0.32, 55.94%,364, 0, 72, 83.5,25/0/7,1:38:00, 0:54:00, 5:20:00,37.44%,1,-0.20, -0.02, 4 days 13:45:00,0,0, 1, 0
USDT200, 10,20210901_20211001,323,10.07%,0.30, 61.02%,268, 0, 55, 83.0,22/1/6,1:05:00, 0:50:00, 2:14:00,-13.11%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20210801_20210901,349,10.03%,0.28, 41.94%,289, 0, 60, 82.8,23/0/8,1:37:00, 1:19:00, 3:02:00,55.72%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20210701_20210801,380,5.01%,0.14, 58.86%,304, 0, 76, 80.0,19/0/13,2:31:00, 1:59:00, 4:38:00,22.17%,1,-0.90, -0.09, 16:15:00,0,0, 1, 0
USDT200, 10,20210601_20210701,332,1.08%,0.04, 80.92%,256, 0, 76, 77.1,13/2/15,3:05:00, 0:44:00, 10:59:00,-22.67%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20210501_20210601,639,88.18%,0.99, 58.62%,560, 0, 79, 87.6,29/0/2,1:01:00, 0:52:00, 2:00:00,-34.38%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20210401_20210501,594,78.22%,0.97, 27.95%,520, 0, 74, 87.5,28/0/3,1:14:00, 0:51:00, 3:55:00,27.93%,1,-1.40, -0.24, 1 day 21:05:00,0,0, 1, 0
USDT200, 10,20210301_20210401,628,71.83%,0.87, 30.04%,546, 0, 82, 86.9,30/0/2,0:42:00, 0:31:00, 2:00:00,136.52%,1,-0.59, -0.10, 0:35:00,0,0, 1, 0
USDT200, 10,20210201_20210301,809,103.99%,0.89, 60.8%,711, 0, 98, 87.9,23/0/6,1:09:00, 0:27:00, 6:12:00,81.74%,1,-0.30, -0.04, 17 days 18:50:00,0,0, 1, 0
USDT200, 10,20210101_20210201,696,62.96%,0.71, 83.22%,595, 0, 101, 85.5,26/0/6,2:01:00, 0:45:00, 9:26:00,92.61%,1,-0.12, -0.01, 30 days 22:50:00,0,0, 1, 0
USDT200, 10,20201201_20210101,376,19.38%,0.47, 38.92%,313, 0, 63, 83.2,25/0/7,3:10:00, 0:55:00, 14:22:00,6.6%,4,-1.10, -0.52, 7 days 16:39:00,0,0, 4, 0
USDT200, 10,20201101_20201201,470,17.17%,0.34, 59.08%,390, 0, 80, 83.0,25/0/5,1:24:00, 1:05:00, 2:57:00,45.88%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20201001_20201101,382,2.23%,0.06, 60.04%,302, 0, 80, 79.1,23/0/8,2:58:00, 2:34:00, 4:27:00,-18.94%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20200901_20201001,395,17.3%,0.41, 61.01%,322, 0, 73, 81.5,21/1/8,2:06:00, 0:44:00, 8:04:00,-29.71%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20200801_20200901,305,15.96%,0.49, 23.35%,245, 0, 60, 80.3,25/0/7,2:09:00, 1:44:00, 3:51:00,45.8%,1,-0.05, -0.01, 2 days 22:10:00,0,0, 1, 0
USDT200, 10,20200701_20200801,232,14.1%,0.57, 13.33%,200, 0, 32, 86.2,24/1/7,2:16:00, 1:31:00, 6:58:00,35.02%,1,-0.38, -0.04, 20:35:00,0,0, 1, 0
USDT200, 10,20200601_20200701,181,-3.14%,-0.17, 75.97%,136, 0, 45, 75.1,20/2/9,6:09:00, 6:52:00, 3:59:00,-0.74%,1,0.08, 0.01, 29 days 0:45:00,1,0, 0, 100
USDT200, 10,20200501_20200601,246,7.96%,0.32, 33.67%,204, 0, 42, 82.9,20/3/9,4:51:00, 1:19:00, 22:01:00,19.2%,2,-0.35, -0.07, 15 days 8:32:00,0,0, 2, 0
USDT200, 10,20200401_20200501,286,11.47%,0.38, 13.19%,247, 0, 39, 86.4,22/1/8,2:39:00, 1:29:00, 10:03:00,31.53%,1,-0.11, -0.01, 6 days 16:10:00,0,0, 1, 0
USDT200, 10,20200301_20200401,442,-16.38%,-0.33, 311.61%,336, 0, 106, 76.0,19/3/10,1:24:00, 1:10:00, 2:08:00,-33.67%,1,0.03, 0.00, 8 days 11:40:00,1,0, 0, 100
USDT200, 10,20200201_20200301,257,8.44%,0.32, 56.91%,209, 0, 48, 81.3,16/4/10,8:12:00, 0:56:00, 1 day 15:48:00,4.87%,3,-0.07, -0.02, 24 days 4:47:00,0,0, 3, 0
USDT200, 10,20200101_20200201,219,3.98%,0.18, 30.19%,177, 0, 42, 80.8,23/2/6,2:43:00, 2:07:00, 5:12:00,25.34%,1,-0.67, -0.07, 1:00:00,0,0, 1, 0
USDT200, 10,20191201_20200101,154,-4.54%,-0.30, 52.13%,113, 0, 41, 73.4,14/4/14,2:42:00, 1:23:00, 6:20:00,-13.54%,1,-1.12, -0.11, 3:15:00,0,0, 1, 0
USDT200, 10,20191101_20191201,182,3.37%,0.19, 22.51%,147, 0, 35, 80.8,22/1/7,2:20:00, 2:04:00, 3:26:00,-8.1%,0,0.00, 0.00, 0:00,0,0, 0, 0
BTC200, 10,20211001_20211101,377,-9.22%,-0.25, 104.1%,265, 0, 112, 70.3,13/1/17,2:27:00, 1:28:00, 4:48:00,-4.23%,0,0.00, 0.00, 0:00,0,0, 0, 0
