Market,Max Trades, IS,HO Return,HO Sharpe Ratio,HO Win Rate,OOS,Total Trades,Total Profit, Avg Profit, Drawdown, Wins, Draws, Loses, Win Rate, Win Day,Avg Duration, Avg Dur_Win, Avg Dur_Lose, Market Change, Left total trades, Left avg profit, Left total profit, Left avg duration, Left win, Left draws, Left lose, Left Win Rate 
USDT200, 5,20191001_20200101,27.88%,3.79525,28/20/9, 20200101_20200201,28,7.29%,1.33, 35.22%,13, 9, 6, 46.4,9/13/4,1 day 5:43:00, 20:23:00, 1 day 14:40:00,37.39%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 5,20190901_20191201,10.03%,3.73741,33/0/20, 20191201_20200101,15,1.51%,0.50, 3.19%,9, 1, 5, 60.0,6/14/4,14:40:00, 7:53:00, 5:24:00,-13.32%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 5,20190801_20191101,17.61%,3.95528,24/17/6, 20191101_20191201,22,-14.45%,-3.30, 106.78%,9, 2, 11, 40.9,4/17/7,1 day 14:22:00, 22:40:00, 1 day 23:22:00,-4.11%,1,-4.01, -0.69, 17:00:00,0,0, 1, 0
USDT200, 10,20210701_20211001,33.38%,6.72079,43/37/2, 20211001_20211101,41,3.0%,0.78, 75.84%,20, 10, 11, 48.8,11/13/4,2 days 17:07:00, 14:09:00, 5 days 4:05:00,41.38%,6,-5.25, -3.43, 21:10:00,1,0, 5, 16.7
USDT200, 10,20210601_20210901,29.27%,5.71698,41/45/3, 20210901_20211001,18,-8.77%,-4.70, 155.25%,9, 3, 6, 50.0,6/13/2,1 day 14:33:00, 10:33:00, 3 days 4:20:00,-5.24%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20210501_20210801,53.92%,5.97883,166/68/13, 20210801_20210901,73,14.29%,1.84, 14.02%,36, 36, 1, 49.3,15/16/1,1 day 4:46:00, 6:23:00, 10:00:00,49.85%,1,-14.02, -1.63, 10:00:00,0,0, 1, 0
USDT200, 10,20210401_20210701,54.79%,4.97798,144/17/15, 20210701_20210801,44,8.58%,1.86, 65.27%,32, 9, 3, 72.7,12/15/2,1 day 10:46:00, 7:32:00, 9 days 7:20:00,29.49%,1,-1.93, -0.21, 11:00:00,0,0, 1, 0
USDT200, 10,20210301_20210601,112.70%,6.83003,138/68/17, 20210601_20210701,58,10.81%,1.77, 64.34%,27, 26, 5, 46.6,9/18/3,1 day 6:03:00, 10:07:00, 5 days 8:12:00,-10.66%,5,-2.87, -1.58, 19:48:00,2,0, 3, 40.0
USDT200, 10,20210201_20210501,854.64%,10.62728,634/2/986, 20210501_20210601,538,0.25%,0.12, 374.05%,173, 0, 365, 32.2,14/0/18,9:51:00, 15:15:00, 7:18:00,-24.04%,9,4.83, 4.01, 10:53:00,8,0, 1, 88.9
USDT200, 10,20210101_20210401,1494.78%,13.36772,812/0/964, 20210401_20210501,576,65.16%,0.95, 276.61%,237, 0, 339, 41.1,21/0/10,10:21:00, 12:14:00, 9:02:00,59.77%,7,3.94, 4.40, 12:26:00,7,0, 0, 100
USDT200, 10,20201201_20210301,1068.23%,10.26284,740/1/879, 20210301_20210401,573,216.41%,2.07, 86.66%,257, 1, 315, 44.9,28/0/4,11:06:00, 11:35:00, 10:36:00,115.53%,8,1.14, 2.84, 5:22:00,5,0, 3, 62.5
USDT200, 10,20201101_20210201,109.42%,8.45151,170/84/38, 20210201_20210301,139,38.22%,2.47, 204.82%,90, 22, 27, 64.7,19/6/4,22:33:00, 11:09:00, 1 day 6:51:00,99.96%,1,-7.60, -1.10, 1 day 14:00:00,0,0, 1, 0
USDT200, 10,20201001_20210101,89.85%,7.04663,170/144/25, 20210101_20210201,139,33.24%,2.15, 184.31%,71, 40, 28, 51.1,24/4/4,1 day 23:19:00, 12:14:00, 3 days 20:32:00,92.0%,10,-10.56, -14.26, 6 days 9:54:00,0,0, 10, 0
USDT200, 10,20200901_20201201,37.75%,5.14234,110/118/10, 20201201_20210101,115,-0.97%,-0.02, 167.8%,52, 44, 19, 45.2,16/5/10,1 day 13:25:00, 8:44:00, 5 days 1:35:00,29.53%,7,-3.35, -2.52, 3 days 3:00:00,2,0, 5, 28.6
USDT200, 10,20200801_20201101,2.83%,4.41516,7/6/0, 20201101_20201201,9,-0.13%,-0.06, 34.53%,5, 3, 1, 55.6,5/14/1,2 days 14:13:00, 7:48:00, 2 days 2:00:00,44.57%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20200701_20201001,29.76%,5.37844,54/46/7, 20201001_20201101,38,-4.65%,-1.18, 95.92%,12, 18, 8, 31.6,11/16/1,4 days 11:16:00, 1 day 0:05:00, 11 days 20:15:00,-8.55%,8,-11.99, -9.89, 11 days 20:15:00,0,0, 8, 0
USDT200, 10,20200601_20200901,72.94%,8.74147,125/112/17, 20200901_20201001,87,-20.94%,-2.40, 240.36%,29, 32, 26, 33.3,14/9/8,3 days 8:28:00, 21:00:00, 7 days 5:14:00,-17.22%,10,-6.49, -5.29, 12 days 4:42:00,0,0, 10, 0
USDT200, 10,20200501_20200801,49.10%,9.26664,96/105/7, 20200801_20200901,101,16.46%,1.55, 66.05%,47, 42, 12, 46.5,21/8/3,3 days 0:18:00, 16:49:00, 10 days 13:50:00,31.25%,10,-6.10, -7.35, 10 days 21:00:00,0,0, 10, 0
USDT200, 10,20200401_20200701,61.50%,6.21789,132/224/15, 20200701_20200801,170,18.35%,1.01, 47.11%,64, 93, 13, 37.6,22/5/3,1 day 15:45:00, 15:35:00, 7 days 1:32:00,30.83%,10,-4.45, -4.96, 7 days 19:54:00,1,0, 9, 10.0
USDT200, 10,20200301_20200601,77.24%,6.61383,108/123/11, 20200601_20200701,42,-17.79%,-4.39, 189.47%,8, 20, 14, 19.0,7/19/4,6 days 9:29:00, 21:38:00, 14 days 19:43:00,-6.2%,9,-12.89, -11.31, 19 days 3:00:00,0,0, 9, 0
USDT200, 10,20200201_20200501,13.00%,4.06994,75/11/53, 20200501_20200601,53,-2.52%,-0.48, 37.13%,16, 13, 24, 30.2,5/16/10,20:44:00, 14:08:00, 17:42:00,23.06%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20200101_20200401,23.65%,4.94386,90/38/8, 20200401_20200501,39,-3.53%,-0.87, 60.94%,10, 22, 7, 25.6,6/21/1,2 days 11:18:00, 7:42:00, 20:17:00,37.8%,7,-8.71, -6.26, 20:17:00,0,0, 7, 0
USDT200, 10,20191201_20200301,3.65%,4.92534,14/2/5, 20200301_20200401,2,-0.89%,-4.44, 12.18%,1, 0, 1, 50.0,0/0/1,10:00:00, 9:00:00, 11:00:00,-36.31%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20191101_20200201,10.71%,6.27544,40/18/1, 20200201_20200301,19,4.06%,2.17, 70.56%,13, 3, 3, 68.4,6/7/2,1 day 1:41:00, 6:09:00, 2 days 19:00:00,8.12%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20191001_20200101,3.97%,4.58622,10/7/0, 20200101_20200201,2,0.45%,2.25, 0.0%,1, 1, 0, 100,1/22/0,20:30:00, 17:00:00, 0:00:00,37.39%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20190901_20191201,4.95%,5.20327,10/15/1, 20191201_20200101,10,3.2%,3.19, 0.0%,7, 3, 0, 100,2/0/0,18:24:00, 17:26:00, 0:00:00,-13.32%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20190801_20191101,11.88%,4.49754,22/28/1, 20191101_20191201,11,-1.1%,-0.98, 21.97%,4, 4, 3, 36.4,4/22/1,3 days 4:27:00, 20:00:00, 6 days 13:40:00,-4.11%,3,-7.32, -2.22, 6 days 13:40:00,0,0, 3, 0
USDT200, 20,20210701_20211001,27.54%,6.12112,93/95/21, 20211001_20211101,87,2.15%,0.57, 165.72%,36, 33, 18, 41.4,12/10/6,1 day 23:07:00, 18:50:00, 2 days 20:03:00,41.38%,2,0.44, 0.05, 9:00:00,1,0, 1, 50.0
USDT200, 20,20210601_20210901,44.25%,5.97258,259/132/17, 20210901_20211001,151,-3.94%,-0.40, 198.8%,73, 63, 15, 48.3,15/12/3,2 days 1:48:00, 13:15:00, 9 days 9:16:00,-5.24%,7,-15.97, -5.73, 13 days 21:00:00,0,0, 7, 0
USDT200, 20,20210501_20210801,4.40%,4.91474,16/11/1, 20210801_20210901,16,1.98%,2.46, 8.78%,7, 8, 1, 43.8,5/11/1,1 day 2:26:00, 11:43:00, 17:00:00,49.85%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 20,20210401_20210701,61.05%,5.11006,252/88/74, 20210701_20210801,118,16.42%,2.63, 59.28%,70, 42, 6, 59.3,15/12/4,1 day 3:03:00, 16:21:00, 2 days 22:50:00,29.49%,2,-0.73, -0.09, 12:30:00,1,0, 1, 50.0
USDT200, 20,20210301_20210601,60.48%,7.75027,200/4/104, 20210601_20210701,42,2.0%,0.97, 77.72%,22, 0, 20, 52.4,6/18/5,11:21:00, 9:08:00, 13:48:00,-10.66%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 20,20210201_20210501,322.98%,10.21151,510/373/42, 20210501_20210601,375,-33.4%,-1.02, 1419.1%,208, 101, 66, 55.5,19/2/10,1 day 6:47:00, 13:07:00, 3 days 15:33:00,-24.04%,8,-3.60, -0.96, 2 days 15:45:00,4,0, 4, 50.0
USDT200, 20,20210101_20210401,426.43%,11.89536,449/248/229, 20210401_20210501,289,26.31%,1.80, 398.02%,147, 89, 53, 50.9,22/3/6,1 day 15:20:00, 19:32:00, 1 day 20:52:00,59.77%,19,-0.91, -1.02, 1 day 16:06:00,10,0, 9, 52.6
USDT200, 20,20201201_20210301,147.73%,10.62817,264/137/20, 20210301_20210401,164,43.9%,4.43, 85.39%,95, 54, 15, 57.9,25/3/3,1 day 14:04:00, 9:45:00, 4 days 2:00:00,115.53%,14,-6.10, -5.98, 3 days 10:47:00,3,0, 11, 21.4
USDT200, 20,20201101_20210201,169.61%,8.10253,326/320/40, 20210201_20210301,351,64.05%,3.03, 601.78%,199, 116, 36, 56.7,23/0/6,1 day 11:17:00, 18:07:00, 3 days 10:53:00,99.96%,20,-14.33, -27.27, 3 days 14:24:00,1,0, 19, 5.0
USDT200, 20,20201001_20210101,48.41%,7.37111,200/165/18, 20210101_20210201,206,26.62%,2.33, 185.03%,130, 44, 32, 63.1,24/1/6,1 day 19:08:00, 13:15:00, 4 days 17:15:00,92.0%,18,-9.01, -10.23, 5 days 20:37:00,2,0, 16, 11.1
USDT200, 20,20200901_20201201,14.86%,4.82822,68/92/7, 20201201_20210101,81,3.01%,0.75, 78.5%,30, 43, 8, 37.0,14/12/4,1 day 11:54:00, 12:54:00, 4 days 4:38:00,29.53%,5,-4.65, -1.20, 2 days 13:12:00,1,0, 4, 20.0
USDT200, 20,20200801_20201101,0.13%,2.79665,2/0/0, 20201101_20201201,0,,0.00, ,0, 0, 0, 0,,0:00, , ,,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 20,20200701_20201001,12.97%,7.22883,45/35/3, 20201001_20201101,31,-3.92%,-2.50, 120.34%,10, 12, 9, 32.3,9/18/1,4 days 14:25:00, 20:12:00, 11 days 11:07:00,-8.55%,9,-13.37, -6.09, 11 days 11:07:00,0,0, 9, 0
USDT200, 20,20200601_20200901,16.61%,7.97632,70/36/18, 20200901_20201001,22,-4.15%,-3.82, 90.62%,7, 5, 10, 31.8,4/19/7,2 days 7:30:00, 15:00:00, 3 days 1:42:00,-17.22%,4,-2.52, -0.49, 1 day 18:15:00,1,0, 3, 25.0
USDT200, 20,20200501_20200801,39.44%,12.11692,137/186/12, 20200801_20200901,194,12.5%,1.27, 271.68%,92, 79, 23, 47.4,23/3/6,3 days 2:32:00, 1 day 0:22:00, 11 days 15:18:00,31.25%,20,-9.00, -10.80, 10 days 20:39:00,3,0, 17, 15.0
USDT200, 20,20200401_20200701,33.94%,5.46752,127/132/15, 20200701_20200801,130,15.89%,2.28, 54.12%,66, 53, 11, 50.8,22/7/2,2 days 1:32:00, 20:18:00, 4 days 13:22:00,30.83%,12,-3.99, -2.74, 4 days 0:45:00,4,0, 8, 33.3
USDT200, 20,20200301_20200601,80.06%,7.79365,294/193/15, 20200601_20200701,68,-10.9%,-3.16, 268.04%,25, 22, 21, 36.8,11/16/3,6 days 5:13:00, 15:38:00, 16 days 4:51:00,-6.2%,17,-13.82, -11.89, 18 days 7:04:00,0,0, 17, 0
USDT200, 20,20200201_20200501,37.39%,4.60321,269/78/112, 20200501_20200601,147,-5.16%,-0.69, 174.95%,60, 38, 49, 40.8,19/4/9,1 day 9:07:00, 1 day 0:48:00, 1 day 7:31:00,23.06%,4,-9.22, -1.76, 1 day 0:30:00,0,0, 4, 0
USDT200, 20,20200101_20200401,27.06%,4.72952,240/144/102, 20200401_20200501,167,4.8%,0.60, 125.66%,72, 66, 29, 43.1,17/9/4,1 day 0:37:00, 15:45:00, 1 day 2:29:00,37.8%,17,-6.49, -6.10, 21:46:00,0,0, 17, 0
USDT200, 20,20191201_20200301,17.54%,5.73027,105/54/11, 20200301_20200401,42,-7.59%,-3.62, 166.1%,21, 5, 16, 50.0,8/17/6,1 day 23:54:00, 13:46:00, 3 days 10:30:00,-36.31%,7,-4.17, -1.42, 4 days 22:26:00,1,0, 6, 14.3
