Market,Max Trades, IS,HO Return,HO Sharpe Ratio,HO Win Rate,OOS,Total Trades,Total Profit, Avg Profit, Drawdown, Wins, Draws, Loses, Win Rate, Win Day,Avg Duration, Avg Dur_Win, Avg Dur_Lose, Market Change, Left total trades, Left avg profit, Left total profit, Left avg duration, Left win, Left draws, Left lose, Left Win Rate 
USDT200, 10,20200601_20200901,51.95%,10.34915,454/0/106, 20200901_20201001,113,8.85%,0.76, 21.02%,67, 10, 36, 59.3,18/5/7,4:22:00, 3:47:00, 4:48:00,-17.36%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20200501_20200801,60.68%,7.51095,176/203/6, 20200801_20200901,125,26.35%,1.94, 19.8%,77, 11, 37, 61.6,19/5/6,10:58:00, 11:40:00, 9:47:00,33.42%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20200401_20200701,92.38%,6.23807,335/275/18, 20200701_20200801,66,15.34%,2.24, 12.37%,38, 6, 22, 57.6,12/14/5,10:05:00, 11:34:00, 8:51:00,30.89%,2,10.40, 2.35, 3 days 0:18:00,2,0, 0, 100
USDT200, 10,20200301_20200601,67.27%,6.51367,232/173/13, 20200601_20200701,34,1.7%,0.50, 8.85%,18, 4, 12, 52.9,6/15/5,3:10:00, 1:38:00, 4:54:00,-5.52%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20200201_20200501,38.80%,5.89394,357/0/133, 20200501_20200601,87,28.02%,3.03, 54.48%,47, 13, 27, 54.0,12/10/8,5:56:00, 6:14:00, 6:55:00,29.0%,3,-0.31, -0.11, 3:35:00,2,0, 1, 66.7
USDT200, 10,20200101_20200401,74.11%,6.53019,148/98/18, 20200401_20200501,43,-0.47%,-0.11, 16.49%,17, 5, 21, 39.5,5/18/5,4:49:00, 2:05:00, 5:17:00,39.04%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20191201_20200301,60.51%,6.13239,542/48/284, 20200301_20200401,226,-3.54%,-0.12, 124.54%,105, 16, 105, 46.5,16/7/9,2:55:00, 2:47:00, 3:05:00,-34.63%,1,1.33, 0.13, 2:30:00,1,0, 0, 100
USDT200, 10,20191101_20200201,43.85%,5.23307,258/197/47, 20200201_20200301,116,23.01%,1.85, 39.64%,75, 4, 37, 64.7,19/2/5,9:12:00, 10:37:00, 5:06:00,11.24%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20191001_20200101,46.19%,5.25869,279/198/26, 20200101_20200201,51,8.68%,1.70, 25.72%,21, 5, 25, 41.2,9/17/4,10:11:00, 13:37:00, 8:43:00,33.15%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20190901_20191201,17.46%,7.34053,327/2/182, 20191201_20200101,61,3.98%,0.65, 32.18%,36, 5, 20, 59.0,13/8/5,5:13:00, 5:57:00, 4:36:00,-11.38%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20190801_20191101,3.76%,5.14173,13/0/1, 20191101_20191201,40,7.77%,1.90, 13.92%,26, 5, 9, 65.0,13/12/3,7:14:00, 8:18:00, 6:22:00,-4.58%,0,0.00, 0.00, 0:00,0,0, 0, 0
