Market,Max Trades, IS,HO Return,HO Sharpe Ratio,HO Win Rate,OOS,Total Trades,Total Profit, Avg Profit, Drawdown, Wins, Draws, Loses, Win Rate, Win Day,Avg Duration, Avg Dur_Win, Avg Dur_Lose, Market Change, Left total trades, Left avg profit, Left total profit, Left avg duration, Left win, Left draws, Left lose, Left Win Rate 
BTC200, 10,20210601_20210901,11.57%,9.76912,78/41/1, 20210901_20211001,45,6.29%,1.37, 24.09%,39, 4, 2, 86.7,11/13/2,6:21:00, 1:03:00, 4 days 4:00:00,-0.06%,1,-6.72, -0.73, 6 days 14:50:00,0,0, 1, 0
BTC200, 10,20210501_20210801,32.02%,10.20854,156/120/13, 20210801_20210901,33,4.82%,1.43, 0.0%,23, 10, 0, 100,13/18/0,2:18:00, 1:27:00, 0:00:00,30.88%,0,0.00, 0.00, 0:00,0,0, 0, 0
BTC200, 10,20210401_20210701,43.88%,12.38470,198/96/10, 20210701_20210801,21,-0.31%,-0.14, 13.24%,10, 10, 1, 47.6,8/21/1,11:17:00, 0:49:00, 5 days 22:55:00,2.15%,1,-13.24, -1.34, 5 days 22:55:00,0,0, 1, 0
BTC200, 10,20210301_20210601,89.22%,15.20996,325/192/16, 20210601_20210701,46,7.24%,1.52, 6.01%,25, 19, 2, 54.3,13/14/1,8:42:00, 1:22:00, 4 days 15:12:00,-14.84%,2,-3.01, -0.64, 4 days 15:12:00,0,0, 2, 0
BTC200, 10,20210201_20210501,126.86%,18.45251,332/145/5, 20210501_20210601,172,6.56%,0.45, 233.93%,128, 32, 12, 74.4,20/6/3,6:41:00, 1:41:00, 1 day 5:47:00,14.79%,2,-14.94, -3.14, 5 days 11:48:00,0,0, 2, 0
BTC200, 10,20210101_20210401,116.76%,23.65325,553/297/3, 20210401_20210501,151,15.32%,0.94, 32.26%,108, 41, 2, 71.5,22/6/2,3:37:00, 0:36:00, 6 days 4:42:00,60.23%,0,0.00, 0.00, 0:00,0,0, 0, 0
BTC200, 10,20201201_20210301,111.57%,19.20442,437/280/5, 20210301_20210401,136,13.21%,0.91, 30.46%,81, 53, 2, 59.6,23/8/1,5:31:00, 0:34:00, 5 days 3:42:00,45.99%,2,-15.23, -3.48, 5 days 3:42:00,0,0, 2, 0
BTC200, 10,20201101_20210201,60.77%,19.11659,265/214/1, 20210201_20210301,321,41.03%,1.06, 31.34%,185, 134, 2, 57.6,25/2/1,5:23:00, 0:54:00, 6 days 2:32:00,41.05%,0,0.00, 0.00, 0:00,0,0, 0, 0
BTC200, 10,20201001_20210101,50.37%,12.31091,297/127/75, 20210101_20210201,401,10.92%,0.27, 88.87%,199, 141, 61, 49.6,23/0/8,2:27:00, 1:11:00, 3:55:00,67.3%,0,0.00, 0.00, 0:00,0,0, 0, 0
BTC200, 10,20200901_20201201,53.90%,13.51116,344/83/65, 20201201_20210101,296,0.46%,0.03, 89.1%,183, 44, 69, 61.8,18/2/11,4:03:00, 1:06:00, 9:45:00,-13.29%,0,0.00, 0.00, 0:00,0,0, 0, 0
BTC200, 10,20200801_20201101,55.18%,14.67738,294/78/48, 20201101_20201201,301,24.67%,0.74, 36.46%,210, 45, 46, 69.8,24/1/6,3:13:00, 1:00:00, 5:28:00,5.44%,2,0.82, 0.20, 8:08:00,1,0, 1, 50.0
BTC200, 10,20200701_20201001,72.21%,14.64077,271/91/8, 20201001_20201101,83,-3.91%,-0.44, 87.58%,48, 27, 8, 57.8,17/10/5,21:20:00, 1:40:00, 6 days 23:11:00,-29.55%,3,-4.28, -1.26, 1 day 6:08:00,0,0, 3, 0
BTC200, 10,20200601_20200901,39.01%,14.27948,174/68/6, 20200901_20201001,160,21.42%,1.22, 50.43%,111, 40, 9, 69.4,27/0/4,8:54:00, 1:36:00, 3 days 16:11:00,-11.74%,3,-5.58, -1.96, 10 days 2:03:00,0,0, 3, 0
BTC200, 10,20200501_20200801,37.96%,12.66472,152/77/4, 20200801_20200901,136,16.79%,1.14, 22.37%,90, 44, 2, 66.2,22/7/2,8:32:00, 1:31:00, 2 days 9:00:00,35.45%,0,0.00, 0.00, 0:00,0,0, 0, 0
BTC200, 10,20200401_20200701,69.84%,13.51472,255/51/44, 20200701_20200801,174,4.46%,0.26, 64.57%,109, 25, 40, 62.6,22/2/8,2:46:00, 1:12:00, 4:56:00,5.67%,1,-3.64, -0.38, 17:40:00,0,0, 1, 0
BTC200, 10,20200301_20200601,95.08%,16.94026,390/74/73, 20200601_20200701,77,0.86%,0.12, 16.17%,45, 18, 14, 58.4,15/8/8,7:03:00, 1:02:00, 1 day 2:58:00,1.43%,1,-4.04, -0.41, 4 days 21:35:00,0,0, 1, 0
BTC200, 10,20200201_20200501,130.49%,21.08561,418/103/62, 20200501_20200601,212,20.1%,0.86, 37.05%,130, 55, 27, 61.3,23/3/6,4:40:00, 0:49:00, 11:42:00,13.32%,2,-1.76, -0.42, 1:48:00,1,0, 1, 50.0
BTC200, 10,20200101_20200401,130.09%,21.24885,467/85/103, 20200401_20200501,216,22.99%,0.96, 22.45%,142, 32, 42, 65.7,22/1/8,4:37:00, 1:00:00, 9:58:00,-1.63%,1,-3.64, -0.45, 1 day 7:05:00,0,0, 1, 0
BTC200, 10,20191201_20200301,102.98%,23.70489,361/92/65, 20200301_20200401,267,10.55%,0.38, 63.47%,136, 58, 73, 50.9,19/2/10,3:23:00, 1:14:00, 3:47:00,-9.46%,0,0.00, 0.00, 0:00,0,0, 0, 0
BTC200, 10,20191101_20200201,118.97%,23.32925,396/79/52, 20200201_20200301,239,39.91%,1.41, 22.39%,183, 18, 38, 76.6,26/0/4,2:02:00, 0:54:00, 4:14:00,19.57%,2,-1.76, -0.49, 7:42:00,0,0, 2, 0
BTC200, 10,20191001_20200101,110.76%,21.73244,537/117/82, 20200101_20200201,192,29.25%,1.34, 20.26%,137, 30, 25, 71.4,26/0/6,3:46:00, 1:06:00, 13:14:00,8.15%,1,-4.04, -0.52, 2 days 11:45:00,0,0, 1, 0
BTC200, 10,20190901_20191201,97.26%,19.07172,540/122/118, 20191201_20200101,187,23.12%,1.11, 10.67%,133, 34, 20, 71.1,28/0/3,3:43:00, 1:18:00, 10:32:00,-7.02%,0,0.00, 0.00, 0:00,0,0, 0, 0
BTC200, 10,20190801_20191101,82.67%,15.10025,692/171/152, 20191101_20191201,210,27.43%,1.16, 11.28%,156, 35, 19, 74.3,27/1/3,3:50:00, 0:37:00, 13:24:00,18.52%,3,-1.01, -0.39, 1 day 15:45:00,0,0, 3, 0
